"sp","x","y"
"percussa",-48.473361,-25.673667
"percussa",-48.473333,-25.673611
"percussa",-48.532222,-25.6225
"percussa",-48.478611,-25.619167
"percussa",-48.3861,-25.5906
"percussa",-48.6902,-25.5745
"percussa",-48.6883,-25.5742
"percussa",-48.703056,-25.57
"percussa",-48.733333,-25.533333
"percussa",-48.834444,-25.476944
"percussa",-48.905417,-25.419917
"percussa",-48.25,-25.416667
"percussa",-48.656667,-25.366667
"percussa",-48.2,-25.333333
"percussa",-48.328889,-25.306667
"percussa",-48.683333,-25.3
"percussa",-48.329258,-25.29655
"percussa",-48.683333,-25.25
"percussa",-48.3875,-25.178056
"percussa",-48.385083,-25.177833
"percussa",-48.2977,-25.1752
"percussa",-47.895,-25.026389
"percussa",-47.834722,-24.881667
"percussa",-47.983333,-24.866667
"percussa",-47.860278,-24.809722
"percussa",-47.872778,-24.808056
"percussa",-47.845278,-24.801667
"percussa",-49.234833,-24.780222
"percussa",-47.548083,-24.705778
"percussa",-47.491389,-24.686389
"percussa",-48.467139,-24.636944
"percussa",-47.616667,-24.566667
"percussa",-48.666611,-24.564472
"percussa",-48.109111,-24.557056
"percussa",-48.693333,-24.539444
"percussa",-48.693,-24.539
"percussa",-47.237778,-24.508611
"percussa",-48.23777,-24.50119
"percussa",-49.076944,-24.335278
"percussa",-46.99,-24.32
"percussa",-48.4125,-24.306667
"percussa",-49.70622,-24.2549
"percussa",-49.705556,-24.251111
"percussa",-48.083333,-24.233333
"percussa",-47.916667,-24.2
"percussa",-47.916667,-24.166667
"percussa",-46.62,-24.08
"percussa",-47.315833,-24.020278
"percussa",-46.138889,-23.855
"percussa",-45.708056,-23.711944
"percussa",-45.9595,-23.654806
